State,County,Life_Expectancy,Age-Adjusted_Mortality,Child_Mortality_Rate,Infant_Mortality_Rate,%_Frequent_Physical_Distress,%_Frequent_Mental_Distress,%_Diabetic,%_Food_Insecure,%_Limited_Access_Healthy_Food,Drug_Overdose_Mortality_Rate,MV_Mortality_Rate,%_Insufficient_Sleep,%_Uninsured_adults,%_Uninsured_children,Other_PCP_Rate,%_Disconnected_Youth,Household_Median_Income,Homicide_Rate,Firearm_Fatalities_Rate,%_Homeowners,%_Severe_Housing_Cost_Burden,Population,%_<_18,%_65_and_over,%_Not_Proficient_in_English,%_Female,%_Rural
Alabama,Chilton,74.192630442,541.5,63.692764974,6.7938332898,14.445379539,14.260704074,14.7,13.6,1.4605309614,12.125713333,25.361977194,35.174569262,18.339325327,3.8842134468,13.615630000000001,8.350803575574002,46405.0,6.2,15.0,75.292223282,12.474962444,44067,23.87500851,16.359180339,2.2532529356,50.827149568,86.74472424
Alabama,Choctaw,74.284126121,536.1,72.18208158963827,8.444679893082666,14.657440897,14.208099928,16.2,20.5,7.2904190524,17.038235227579907,40.816764949,38.291174279,14.114033916,3.2093362509,46.349940000000004,8.350803575574002,36711.0,11.8,22.8,80.157422662,9.2144122859,12945,20.092699884,22.742371572,0.0,52.715334106,100.0
Alabama,Clarke,75.893743647,456.8,69.130795465,8.444679893082666,15.832839553,14.62674381,18.5,24.1,11.154712303,17.038235227579907,30.432136336,40.844779711,14.592094197,2.7313566936,53.979989999999994,10.426179604,36719.0,9.633085801827432,17.8,65.986252864,13.330801367,24083,21.878503509,19.279159573,0.1977729051,52.78412158,75.98033523
Alabama,Clay,75.393032012,509.7,72.18208158963827,8.444679893082666,13.792017087,13.857781019,14.7,14.5,2.3268798802,17.038235227579907,22.163822309,38.540524868,16.869476111,3.7800687285,44.88666,8.350803575574002,39642.0,9.633085801827432,17.8,76.470588235,8.6772699819,13367,20.573053041,20.243884192,0.447761194,51.051095983,100.0
Alabama,Cleburne,73.629785061,586.8,86.724000867,8.444679893082666,13.279597957,13.661562286,13.1,13.9,2.0717157696,17.038235227579907,29.641528738,33.504784675,15.290697674,3.4337179848,20.13423,8.350803575574002,45480.0,9.633085801827432,17.4,74.41538195,12.157374604,14900,22.946308725,19.10738255,0.888920495,50.416107383,100.0
Alabama,Coffee,77.20313581,408.5,53.417705915,6.8858285207,13.593146585,13.445272546,14.8,14.7,5.9812031395,7.128461354,15.924634572,37.304731884,13.872718303,3.2321639732,63.61568,6.5536723164,51998.0,3.4,13.3,65.351681957,10.611001229,51874,23.724794695,16.565138605,1.2587675351,50.707483518,47.195082886
Alabama,Colbert,74.851027031,497.5,64.536947402,9.3279119828,13.11340438,13.365516,17.6,15.3,6.5517045351,7.3588029681,23.61640658,36.95078304,12.29390904,2.5073129962,132.11009,6.3944530046,46100.0,4.2,17.3,72.824455261,13.051313668,54500,21.011009174,19.6,0.395256917,52.020183486,43.894686558
Alabama,Conecuh,75.033811563,536.7,72.18208158963827,8.444679893082666,17.944400355,16.51926789,19.5,23.9,13.229776262,17.038235227579907,25.790825194,42.32037304,16.359512333,2.9301277235,24.05967,8.350803575574002,30796.0,9.633085801827432,19.0,77.565733673,11.59080244,12469,21.028149812,21.918357527,0.0,51.968882829,80.949501058
Alabama,Coosa,73.416100716,528.0,72.18208158963827,8.444679893082666,15.007975757,14.415414719,18.6,16.3,10.124807485,17.038235227579907,41.047641747,36.809371971,16.069760199,3.8001041124,9.29887,8.350803575574002,42442.0,9.633085801827432,24.1,80.328258801,11.693961105,10754,16.40319881,22.763622838,0.5394151604,49.804723824,100.0
Alabama,Covington,74.215783517,535.7,84.738068577,8.3146786057,14.474782062,14.119544004,14.8,15.6,4.3703267511,17.038235227579907,21.953232046,35.912448843,15.931887101,2.8328611898,78.18397,11.004784689,39093.0,9.633085801827432,13.8,75.080143932,9.8696200757,37092,21.832201014,20.664833387,0.4186822824,51.773967432,69.651793989
Alabama,Crenshaw,74.831088149,500.2,72.18208158963827,8.444679893082666,14.153868656,14.06169471,15.9,16.6,17.03906038,17.038235227579907,23.540489642,37.551861437,14.661236579,3.4996956786,86.51143,8.350803575574002,38419.0,10.2,20.1,71.015304218,9.78105177,13871,23.084132362,18.722514599,1.3224277633,51.575228895,100.0
Alabama,Cullman,74.683517679,491.3,47.397857617,6.4782096584,13.745281405,13.863815971,16.4,12.0,3.1096062497,21.841921118,22.444052063,35.374266463,16.652227723,2.8699645168,79.75349,11.70984456,45925.0,3.5,17.8,74.833585233,10.861397401,82755,22.471149779,18.28892514,0.8192557667,50.566128935,73.239559237
Alabama,Dale,75.407857769,484.1,65.162145138,6.1610367538,14.445250494,13.640861529,15.6,16.7,10.559380333,8.1071768783,21.55959215,40.845847683,14.282783382,2.6789523078,73.13208,13.068844807,42572.0,6.9,16.6,59.69189907,13.338945006,49226,23.093487182,16.342989477,0.9535160906,50.696786251,50.888539532
Alabama,Dallas,71.715678606,637.1,67.119099113,6.9731404959,17.364252436,16.536635828,16.6,29.5,11.556270932,17.038235227579907,31.351526406,42.324353175,13.756270541,2.1250881257,56.10097999999999,6.7117117117,31329.0,30.3,38.2,59.167829199,17.924528302,39215,24.307025373,17.337753411,0.0915295902,53.872242764,45.638977636
Alabama,DeKalb,74.22449164,523.4,52.875271522,6.7442252571,14.611623767,14.411946105,12.2,12.0,2.1669646088,29.487893581,21.478180577,35.815921616,21.775005997,3.914490383,57.248979999999996,8.5807681831,39906.0,5.0,14.9,71.246369987,8.960665723,71617,24.496976975,16.827010347,3.3365707882,50.275772512,90.130644504
Alabama,Elmore,76.122566173,414.8,64.957912686,6.3665975718,12.634048282,12.773385968,14.6,14.0,6.9430217138,8.9816447841,19.379366964,38.424326238,10.990928875,2.4918237035,30.608369999999997,12.606681297,59652.0,7.6,21.1,72.969259832,9.9101699195,81677,22.322073534,14.723851268,0.7590953786,51.496749391,54.18836614
Alabama,Escambia,72.887192734,581.3,83.885077444,8.8091353997,15.407770565,14.715056984,18.1,19.8,7.2199400283,26.557133246,23.038950935,39.748329629,17.287570136,3.2896277218,34.71573,20.236869207,37870.0,12.1,22.3,71.752608498,10.272846811,37447,22.20738644,17.299116084,0.516569751,48.780943734,63.511573893
Alabama,Etowah,73.053678134,563.3,80.034681695,10.237659963,15.105055047,14.56439887,15.2,15.2,9.4006166263,23.348120476,19.460811309,40.835593923,14.798703232,2.5715650927,80.77466,6.6980023502,41791.0,6.1,16.5,71.928522055,9.5553811599,102755,21.624251861,18.580117756,1.1998438559,51.638363097,37.483481758
Alabama,Fayette,74.566271303,503.9,72.18208158963827,8.444679893082666,13.878465655,13.83820484,15.7,15.0,1.3544586987,17.038235227579907,26.333449427,38.91526204,13.738856843,2.8281164195,30.36191,8.350803575574002,39394.0,9.633085801827432,23.9,76.851186197,10.02718212,16468,21.107602623,21.010444498,0.0,50.862278358,80.23316513
Alabama,Franklin,74.054996862,521.1,77.647287198,7.1234735414,14.882877686,14.719269912,13.7,13.0,4.1206193939,10.546409475,24.368560946,38.420667793,16.96022271,3.5087719298,47.62661,13.715710723,41025.0,9.633085801827432,16.5,68.863261944,8.0941661977,31495,24.584854739,16.472455945,4.8868625464,49.747578981,70.366515266
Alabama,Geneva,74.327174729,518.7,67.833976343,8.444679893082666,14.804438795,14.8545345,16.2,15.3,0.9307847981,13.782388613,20.859742302,36.921145748,17.880579559,4.0684158087,22.709210000000002,8.350803575574002,38561.0,9.633085801827432,14.3,73.627606846,9.2219310623,26421,22.126338897,20.025737103,0.4540385534,51.118428523,89.641657335
Alabama,Greene,73.854799138,582.1,72.18208158963827,8.444679893082666,18.683538626,17.119771652,18.9,31.4,21.342475717,17.038235227579907,39.784500622,45.235452718,14.315181518,2.4973985432,24.0096,8.350803575574002,28108.0,9.633085801827432,19.829692391968738,68.033057851,19.939347991,8330,21.932773109,21.344537815,0.0,52.785114046,100.0
Alabama,Hale,74.241852483,559.9,106.51139672,8.444679893082666,16.507029257,15.441432884,16.1,23.4,4.6475069881,17.038235227579907,28.240344156,41.795436055,14.597000937,2.9460352423,33.756409999999995,12.567132116,34905.0,11.3,25.2,74.876412429,13.726273726,14812,23.251417769,18.788819876,0.0426985482,52.477720767,89.168781726
Alabama,Henry,75.597930111,475.2,72.18208158963827,8.444679893082666,14.106128227,13.636251744,16.7,15.5,2.1421679703,17.038235227579907,16.56767481,38.114618658,14.75275848,3.4361471861,23.3277,8.350803575574002,48094.0,9.633085801827432,22.1,82.220900847,9.3383388081,17147,20.726657724,22.219630256,0.4632489191,51.670846212,87.752860941
Alabama,Houston,75.987399826,439.1,81.76531311,9.403695099,14.584310512,13.621490089,14.5,17.3,6.2826059381,11.517235863,18.176635587,37.046311965,14.484471646,2.5458329998,141.83582,9.9093774626,44753.0,5.8,14.8,64.635995956,12.949052476,104346,23.179613977,17.387345945,0.6845110197,52.033618922,33.804051326
Alabama,Jackson,73.660109764,545.0,71.585163975,10.007698229,14.427998191,14.618797999,16.0,14.0,3.2725105417,8.3085143098,29.588047515,38.042657969,15.948932309,3.0782761653,57.79344999999999,9.9060297572,42658.0,4.3,24.0,73.605655931,10.064740765,51909,21.111945905,19.547669961,0.2864924846,50.85437978,77.017303248
Alabama,Jefferson,74.720268275,498.5,87.157290954,10.686632111,12.997250469,12.912101373,13.2,19.0,12.271590614,28.902245229,16.218099442,36.345132637,12.676463563,2.5007019066,127.42776,7.5422509889,50731.0,17.2,25.4,62.81762883,15.624427651,659197,22.89345977,15.393880737,1.2510601174,52.695476466,9.833765145
Alabama,Lamar,73.155347404,600.1,72.18208158963827,8.444679893082666,15.241731135,15.180951718,15.7,16.2,0.7506765904,17.038235227579907,27.371707792,37.876546852,14.040620664,3.2647730983,64.53462999999999,8.350803575574002,39796.0,9.633085801827432,19.829692391968738,75.760093039,7.7587727032,13946,21.848558727,21.46852144,0.0149880096,51.068406712,100.0
Alabama,Lauderdale,76.197258559,433.2,52.175309038,7.3383274729,13.21558562,13.597123879,14.4,15.1,5.0380740879,10.452258409,17.88279983,35.058161009,12.470815701,2.5229594469,72.40268999999999,3.7743589744,46646.0,5.1,13.2,68.411243982,10.551012568,92538,19.859949426,19.571419309,0.5247760311,52.115887527,49.295106192
Alabama,Lawrence,74.032771265,539.6,65.88757499,8.444679893082666,14.281066041,14.251136564,14.9,14.6,2.1224881728,17.101239337,28.580325645,38.71894829,17.761253618,3.5643037638,39.33553,14.977109222,42912.0,4.7,19.8,79.986213235,10.434854225,33049,21.601258737,18.191170686,0.1430751622,51.269327362,91.289787123
Alabama,Lee,78.163304061,361.7,66.408411732,7.3523404951,13.171861462,13.655660106,9.5,18.0,12.249503723,8.5848053134,12.016756389,36.567048095,13.149372685,2.6121808347,51.978910000000006,5.1608463788,51372.0,7.9,16.5,59.205776173,17.760287754,161604,21.310116086,11.516422861,1.3854759222,50.721516794,27.409498955
Alabama,Limestone,77.799185669,369.0,52.674704436,6.4761368436,12.302609671,12.626349816,12.4,12.4,3.5183538564,6.8144811311,19.003187785,37.394783588,14.134816094,3.1796431287,48.727779999999996,8.350803575574002,57342.0,3.8,14.4,77.129006361,9.7637896634,94402,22.840617784,14.926590538,0.903488857,49.782843584,57.609142084
Alabama,Lowndes,70.818079591,689.1,72.18208158963827,8.444679893082666,17.151291809,16.010889847,18.2,28.1,13.062144953,17.038235227579907,48.531255477,42.738631175,14.502164502,3.0290281868,19.84915,8.350803575574002,33130.0,18.9,32.6,73.404502205,17.136025505,10076,22.508932116,18.161969035,0.0514721021,52.610162763,100.0
Alabama,Macon,74.089912231,574.2,103.24483776,8.444679893082666,16.686627893,15.307635098,19.3,27.0,21.63866443,17.038235227579907,23.246859858,45.893167968,12.847905538,2.194828623,95.97441,9.7103918228,30849.0,29.1,37.5,64.684156903,18.714609287,18755,17.270061317,19.376166356,0.0380083618,54.364169555,55.54726832
Alabama,Madison,77.564607723,381.7,64.301755786,7.5107296137,11.528021099,12.101493368,12.9,14.3,7.4673451232,16.711760411,12.400652013,36.153621615,11.17398802,2.1876091696,101.09514999999999,5.8007833175,62750.0,6.8,16.9,67.507187898,10.849497843,361046,22.021016713,14.63857791,1.1664341216,51.141405804,16.441514765
Alabama,Marengo,74.314601877,541.4,66.032025532,8.444679893082666,16.693056382,15.601565692,18.9,23.6,12.628970654,17.038235227579907,27.058974322,39.260683911,13.020601088,2.6974113552,61.93548,8.350803575574002,37469.0,9.3,17.1,71.335423197,16.17832609,19375,22.787096774,19.334193548,0.2264395083,52.929032258,69.315641794
Alabama,Marion,74.455161618,538.6,59.272138144,8.444679893082666,14.160677816,14.471120125,17.8,13.9,3.2545426264,17.038235227579907,25.99317561,37.537653308,14.632854789,2.6725717776,67.03986,8.350803575574002,38049.0,4.7,19.9,75.652453224,9.4141724226,29833,20.876210907,21.030402574,0.5365032611,50.507826903,88.854951911
Alabama,Marshall,74.223967082,532.0,59.734607672,6.559527714,14.828246456,14.745519965,12.5,12.2,5.187505411,17.167081246,22.748912271,35.71209728,18.104544299,3.3772275994,68.02862999999999,10.337124289,42751.0,3.2,17.5,70.6516711,12.230940677,95548,24.954996442,16.769581781,4.5852146066,50.684472726,53.268687042
Alabama,Mobile,75.180924378,490.5,76.980734558,9.2811600165,14.397171003,13.84266299,14.9,18.9,10.265925301,14.62803793,18.27648599,37.291412392,16.261502264,2.5431928127,91.55584999999999,9.6925529492,45615.0,15.1,23.3,66.355644564,15.132379273,413955,23.582515008,15.752678431,0.7120645481,52.296022515,20.020242523
Alabama,Monroe,74.355904768,525.4,111.95359015,12.315270936,16.184014077,15.120623512,17.4,25.4,12.839526662,17.038235227579907,34.398831738,38.053333723,15.862398471,2.9738302934,42.20003,8.350803575574002,36432.0,8.4,19.3,60.996710126,14.655870445,21327,21.873681249,19.604257514,0.1026342798,52.426501618,79.044563898
Alabama,Montgomery,75.813899252,457.6,94.700062045,9.2476996347,13.453225623,13.46436122,13.3,22.1,14.572141064,6.6223801128,13.734342693,37.118912531,14.519331243,2.366389438,108.09809,9.9370969026,45833.0,19.3,27.2,59.105997148,16.957473167,226646,23.582150137,14.605155176,1.3947844317,52.834817292,10.491230059
Alabama,Morgan,75.505162282,454.7,63.021756206,8.0901177675,14.030161306,13.264482331,13.4,13.2,4.0842018116,16.228542649,15.768028411,37.51680578,14.295619199,3.086659831,59.75526,5.6946826758,49274.0,5.7,18.6,71.579818752,11.407103825,118818,22.793684459,17.105994041,2.297661309,50.796175664,38.597372165
Alabama,Perry,71.807358199,648.0,72.18208158963827,8.444679893082666,19.147319774,17.395292565,20.1,30.2,4.8851175077,17.038235227579907,40.600304502,44.016244799,14.689490446,2.4987986545,42.83114,8.350803575574002,26703.0,9.633085801827432,19.829692391968738,75.255018098,19.38697318,9339,21.704679302,19.102687654,0.2522206382,53.249812614,100.0
Alabama,Pickens,75.510251447,451.8,121.75077616,15.374759769,15.742179515,14.869570954,16.3,20.5,0.8921588404,17.038235227579907,32.169511881,40.240900127,14.841248056,2.9987908102,19.82554,16.099356026,38379.0,9.633085801827432,19.829692391968738,73.687664042,12.053571429,20176,20.03370341,18.403053132,1.3595800525,50.267644726,100.0
Alabama,Pike,75.567372943,493.6,62.109390163,8.1906180194,15.351891455,14.89286289,13.0,21.4,6.3043445736,17.038235227579907,24.524145527,39.096680523,15.790794559,3.4822104466,69.13758,9.4236760125,40680.0,7.7,16.8,59.239661348,16.02426838,33267,19.307421769,14.882616407,1.0753372359,51.790062224,51.679382352
Alabama,Randolph,74.150625392,531.2,60.719526388,8.444679893082666,14.040743388,13.992436068,15.3,16.3,6.8154830831,17.038235227579907,30.866919481,36.353858508,15.417409503,2.8767123288,70.57786,8.350803575574002,41112.0,9.633085801827432,23.0,72.719070712,11.341734618,22670,21.5703573,20.291133657,0.0987166831,51.455668284,81.342469341
Alabama,Russell,72.91510157,589.1,86.467057746,10.587431694,14.601897694,14.267761063,13.2,20.1,5.5467032283,8.5774572986,27.062800459,41.246979867,14.326663669,2.0395758763,21.03602,10.13024602,36186.0,12.5,23.1,58.915821948,14.964731916,57045,24.522745201,14.009992111,1.0394165974,51.950214743,35.4089939
Alabama,St._Clair,75.100363786,469.3,61.149103978,7.498958478,11.968423249,12.346169412,12.3,11.9,1.5678584072,29.245096699,22.609797799,36.630768777,12.12869865,2.4868483979,34.01399,5.4995916145,52755.0,5.1,15.6,80.391553284,10.386143334,88199,22.897085001,16.270025737,0.4758118769,50.289685824,72.796765279
Alabama,Shelby,80.366327367,295.1,41.071013266,6.3200572383,10.923863425,11.353791712,9.3,9.6,4.3024797992,18.643157329,10.952052193,36.703100071,9.5562265674,2.1675628407,43.53831,6.0110803324,74098.0,2.9,12.8,79.60269553,9.1451820926,213605,23.769106528,14.810514735,1.5476973097,51.513775427,22.944870185
Alabama,Sumter,72.90228422,603.8,127.43848642,8.444679893082666,18.445890318,16.790926471,20.0,29.1,10.372885631,17.038235227579907,34.683835165,43.276659622,16.01557256,3.500761035,15.76417,8.350803575574002,26495.0,11.9,18.4,64.537748867,21.606830123,12687,19.452983369,17.443051943,0.830980234,54.354851423,100.0
Alabama,Talladega,72.936529801,592.9,61.082148387,9.3489148581,14.766688309,14.495929116,16.4,18.5,5.8546645943,12.446583413,29.459809411,42.18156803,12.595427964,2.1667983298,43.71448,7.9438058748,41733.0,10.9,24.8,72.222046697,10.58644326,80065,21.427590083,17.52576032,0.6061239419,51.600574533,55.815338251
Alabama,Tallapoosa,75.030168425,477.3,72.632190587,8.2096621408,15.201812395,15.188667305,15.9,17.9,4.3249543956,10.633772863,22.96363048,41.194392542,13.614943749,2.6381623834,81.11895,23.689320388,44469.0,7.7,22.0,71.861445415,13.759261666,40681,21.068803618,20.970477619,0.1738498664,51.409749023,74.226259131
Alabama,Tuscaloosa,76.161511138,431.3,81.879631135,9.3757279292,14.099139612,13.991992147,12.6,17.5,6.4940425646,14.889405702,15.952239278,37.904663329,11.610434239,2.1883941345,80.36148,4.4362511893,51644.0,6.4,14.8,62.819024711,15.440950752,207811,21.119190033,12.829445987,0.8476340136,51.815832656,25.508075785
Alabama,Walker,70.150315905,715.2,88.774391199,8.8057237204,14.629676673,14.747705818,14.7,15.7,5.2100697439,17.497002352,30.52303399,39.476724089,14.824505762,2.5999328183,65.56558000000001,8.9475378178,41925.0,7.0,23.6,75.643320208,11.079653497,64058,22.170532955,19.014018546,0.5943194878,51.209841082,74.087999642
Alabama,Washington,72.951746259,566.3,125.76118613,8.444679893082666,14.335905046,14.622004602,17.1,17.7,3.5835658857,17.038235227579907,38.898989472,38.755900206,16.614261081,3.9871223378,42.34469,8.350803575574002,44249.0,9.633085801827432,21.5,82.419596734,7.434806732,16531,22.243058496,18.450184502,0.452320466,50.989050874,100.0
Alabama,Wilcox,74.174642839,606.4,72.18208158963827,8.444679893082666,18.472525712,16.523065288,19.8,32.3,30.464746029,17.038235227579907,51.228195999,43.288281183,13.665803109,3.0481087036,55.97537,8.350803575574002,25700.0,19.2,25.4,62.171309555,11.859649123,10719,24.088067917,18.966321485,0.1157072606,52.318313275,100.0
Alabama,Winston,74.892341587,513.0,75.395828098,8.444679893082666,14.966456445,14.830727507,17.2,14.3,2.6550128463,17.038235227579907,32.1170488,36.491003405,16.369694336,3.0220315851,46.37046,8.350803575574002,38562.0,6.5,13.4,77.28572942,9.9628425453,23722,20.567405784,21.44001349,0.6150061501,50.644970913,84.892174481
Alaska,Aleutians_East,92.482239572,363.97583652695107,67.34724243232297,5.103010233962996,10.243794555,9.0094323502,8.6,12.9,34.937509649,19.47528015234027,9.973044988745379,35.907320984,35.003631082,20.0,178.04154,9.644456992425884,69375.0,7.674357952356278,22.895668766122224,59.359605911,11.013215859,3370,8.7240356083,9.0207715134,10.980876002,31.988130564,100.0
Alaska,Aleutians_West,81.367307967,245.0,67.34724243232297,5.103010233962996,8.9542708049,8.483085695,8.2,12.4,8.5740477886,19.47528015234027,9.973044988745379,34.42104981,22.948602344,18.115942029,190.87281,9.644456992425884,80290.0,7.674357952356278,22.895668766122224,30.13136289,8.1761006289,5763,11.712649662,6.5417317369,7.7645359336,33.420093701,100.0
Alaska,Anchorage,79.021795895,357.9,60.69236768,5.4715357187,10.092446556,9.8440209732,7.8,12.0,5.1138388211,20.420917752,7.5692865181,29.739269905,14.5310998,8.82225746,180.05408,7.299371947,78579.0,7.9,21.1,60.108289628,12.652352778,294356,24.47376646,10.477449075,2.5445329471,48.994754651,4.1171794151
Alaska,Bethel,71.946400094,509.6,135.50135501,9.3103448276,18.506647517,17.804990585,6.8,21.7,41.987598721,19.47528015234027,12.822773245,35.17538821,31.169474727,12.597130903,171.49812,15.403830142,45582.0,11.2,30.1,63.240495137,8.9157816745,18076,35.710334145,7.3467581323,2.737680438,48.213100243,73.937577147
Alaska,Denali,81.204038233,363.97583652695107,67.34724243232297,5.103010233962996,9.6047811298,9.8866628001,6.8,13.7,22.933714962,19.47528015234027,9.973044988745379,29.999092181,15.455840456,11.466666667,144.64802,9.644456992425884,73220.0,7.674357952356278,22.895668766122224,78.613569322,6.1728395062,2074,18.900675024,10.028929605,0.6300630063,44.165863067,100.0
Alaska,Dillingham,72.919773003,530.5,175.52257859,5.103010233962996,15.844641042,15.445350387,9.9,16.9,32.197569737,19.47528015234027,9.973044988745379,34.9436369,25.075528701,13.099630996,101.37875000000001,17.5,52641.0,7.674357952356278,22.895668766122224,61.992882562,9.5857026807,4932,31.346309813,9.00243309,0.935828877,49.452554745,100.0
Alaska,Fairbanks_North_Star,79.377411244,330.2,68.401579455,4.9393414211,10.135994084,9.7339046368,6.0,12.3,7.276819878,12.669242746,11.29869164,30.208488309,15.34169051,9.3291570851,152.45278,7.7561257959,74241.0,7.3,23.0,58.979008682,14.145416466,99703,24.002286792,9.7349126907,0.8264552445,45.957493756,30.870763776
Alaska,Haines,85.119267884,188.7,67.34724243232297,5.103010233962996,10.289163477,10.683102989,8.9,13.9,7.4409816943,19.47528015234027,9.973044988745379,29.510017669,21.428571429,17.409766454,39.588280000000005,9.644456992425884,53413.0,7.674357952356278,22.895668766122224,70.745170193,4.0835707502,2526,17.418844022,21.417260491,0.8431703204,50.950118765,100.0
Alaska,Hoonah-Angoon,80.22684914,340.6,67.34724243232297,5.103010233962996,12.551159908,12.746675746,10.4,16.1,38.767963566,19.47528015234027,9.973044988745379,30.84262071,27.671022291,17.380952381,186.48019,9.644456992425884,50573.0,7.674357952356278,22.895668766122224,73.566084788,6.0766182299,2145,18.834498834,22.237762238,0.0,46.806526807,32.1857242218602
Alaska,Juneau,79.521040099,332.6,45.708660033,5.103010233962996,9.3452591465,10.138154779,7.0,10.6,5.9062833294,28.771655809,9.973044988745379,31.181138688,14.276126558,9.9784830554,102.82296000000001,9.644456992425884,90436.0,7.674357952356278,15.4,65.452619571,8.0833126705,32094,21.599052782,12.588022683,1.1702999508,49.133794479,21.544364508
Alaska,Kenai_Peninsula,78.568039557,362.1,54.449868569,4.6389673255,11.363899766,10.785431311,7.7,13.4,5.8353607423,23.404231028,12.406978677,30.318429775,19.881737938,12.995610563,110.88933,10.04867872,63559.0,7.674357952356278,23.8,71.206207815,12.424487466,58617,22.703311326,16.403091253,0.4640883978,47.784772336,79.337545126
Alaska,Ketchikan_Gateway,80.184331089,308.4,67.34724243232297,5.103010233962996,10.321054103,10.758207223,9.3,13.4,1.6138728744,19.47528015234027,9.973044988745379,31.823929823,18.256162175,12.01771031,137.12471,13.29787234,71298.0,7.674357952356278,18.9,61.878557875,13.302126,13856,22.134815242,15.011547344,1.3027295285,48.686489607,23.187653039
Alaska,Kodiak_Island,82.404667897,262.3,67.34724243232297,5.103010233962996,9.2630692853,9.4117655681,7.5,11.2,4.6062556464,19.47528015234027,9.973044988745379,29.342382863,23.91833894,16.467715681,81.79655,9.644456992425884,71118.0,7.674357952356278,14.5,59.0348171,15.452171849,13448,25.944378346,10.187388459,5.4924242424,46.750446163,31.319894055
